team_index,team_name,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16
0,Parma,Eto'o,Marquez,Larsson,Iniesta,Ramon,Ronaldinho,Puyol,Busquets,V,Br'hurst,Pinilla,Lemajic,Valckx,Torres,Peixe,Nelson
1,Legia Warsaw,Sousa,Capucho,Balakov,Figo,Pachecho,Cadete,Cherbakov,Yordanov,Poejo,Vujacic,Juskowiak,Jorge,Costinha,Leal,Renato,Van
2,FC Brugge,D'Gouw,Straal,Vermeulen,Bos,Sturing,Laamers,Loeffen,Cocu,Lataheru,Helder,Gillhaus,V,De,Looi,Simons,Korsten
3,FC Copenhagen,Larossi,Pothuizen,Kemming,Rutten,Roelofsen,Hesp,Barthez,Boli,Prunier,Di,Meco,Durand,Dutuel,Angloma,Deschamps,Boghossian
4,MyPa,Voeller,Anderson,Fugier,Stojkovic,Thomas,Casoni,Barros,Henry,Videau,Futre,Jambay,Hedman,Sundgren,Larsson,Kindlund,KNordin
5,Cork,Y'tushenko,Johansson,Simpson,Lidman,Bergstrand,Mjallby,Lagerlof,Nilden,Hallstrom,Gallo,Borgqvist,L'Abbe,Andersson,Amundsen,Milojevic,Stojkovski
6,Linfield,Vasiljevic,Vidakovic,Djorovic,Kristic,Stankovic,Petkovic,Maslovar,Drobnjak,Ivic,Radmanovic,Stefanovic,Lesnjak,Bozovic,Adzic,Djorovic,Simeunovic
7,Slavia Prague,Tosic,Brankovic,McGregor,Weir,Boughera,Papac,Broadfoot,Ferguson,Adam,Davis,Beasley,Novo,Cousin,Webster,Fleck,Thomson
8,Vac Samsung,Dailly,Boyd,Whittaker,Alexander,Moore,Redpath,Taglial'la,Nela,Cannavaro,Francini,Ferrara,Tarantino,Thern,Bordin,Pecchia,Fonseca
9,Rotor Volgograd,Buso,Policano,Pari,Corradini,Luzardi,Lerda,Grossi,Di,Fusco,De,Rosa,Scarlato,Ehrmann,Kadlec,Funkel,Ritter
10,Grasshoppers,Lusch,Roos,Brehme,Wagner,Sforza,Kuntz,Fuchs,Haber,Lutz,Goldbaek,Erikkson,Marin,Hengen,Reitmeir,Degen,Dittgen
11,Bordeaux,De,Wilde,Albert,De,Wolf,Crasson,Versavel,Walem,Zetterberg,Boffin,Bosman,Degryse,Nilis,Rutjes,Haagdoren,Van
12,Slo. Bratislava,Baekel,Emmers,Preko,Musonda,Maes,Van,Baekel,Nwanu,Howard,Ferdinand,Brown,Heinze,Neville,Carrick,Scholes,Giggs
13,Eintracht Frank,Ronaldo,Rooney,V,Nis'rooy,Neville,Smith,Miller,O'Shea,Saha,Bellion,Carroll,Kleberson,Pringle,Vollborn,Foda,Woerns
14,Twente,Fischer,Schuster,Happe,Hapal,Lupescu,Sergio,Kirsten,Thom,Kree,Scholz,Nehl,Melzig,Nowotny,Tolkmitt,Heinen,Becker
15,Katowice,Vollmer,Stingaciu,Panait,Dobos,Parvu,Prodan,Panduru,Stan,Galca,Dumitrescu,Lacatus,Ion,Filipescu,Ilie,Iftodi,Tufan
16,Bekescsaba,Vladoiu,Bucur,Gherasim,Safta,Csik,Kjaer,Melvang,Laursen,Kastbjerg,Bruun,Larsen,Sorensen,Bordingard,Sommer,Reese,Fernandez
17,IFK Gothenburg,Moldrup,Hansen,Knudsen,Bech,Fredriksen,Zivkovic,Jensen,Duus,Erfurt,Casillas,Salgado,Woodgate,Carlos,Samuel,Helguera,Zidane
18,Jazz Pori,Figo,M,Guti,Raul,Owen,Celades,Solari,Beckham,Bravo,Ronaldo,Pavon,Sanchez,Neja,Jimenez,Curci,Panucci
19,Admira Wacker,Mexes,Sartor,De,Rossi,Dacourt,Tommasi,Perrota,D'Agostini,Totti,Montella,Aquilani,De,Martino,Mancini,Ferrari,Cassano
20,Bodo Glimt,Virga,Zotti,Delvecchio,Statuto,Lama,Sassus,Colleter,Roche,Ricardo,Valdo,Le,Guen,Rai,Guerin,Weah,Ginola
21,Olympiakos,Reynaud,Bravo,Fournier,Cobos,Gravelaine,Llacer,Borrelli,Calderaro,Denis,Wohlfahrt,Pfeffer,Aigner,Schmid,Zsak,S'erlioglu,Floegel
22,Real Zaragoza,Stoeger,Narbekovas,Ogris,Fridrikas,Kogler,Hasenhuttl,Prosenik,Kauz,Puerk,Kereszturi,Unger,Orie,Zechner,Cherchesov,Mamedov,Onopko
23,Part. Belgrade,Ivanov,Ledyakhov,Chernyshov,Pyatnitski,Tsymbalar,Karpin,Pisarev,Beshastnyk,Nikiforov,Popov,Gashkin,Khlestov,Radchenko,Chudin,Stauce,Pogodin
24,Din. Bucharest,Popovich,Pagliuca,Sacchetti,Vierchowod,Rossi,Mannini,Evani,Jugovic,Platt,Lombardo,Gullit,Mancini,Invernizzi,Bertarelli,Salsano,Serena
25,Boavista,Bellucci,Ferri,Nuciari,Maspero,Garzilli,Banks,McKenna,Berra,Wallace,Neilson,Stewart,Paz'elos,Cesnauskis,Mikuluaus,Vas'cus,Elliott
26,Nantes,West,Burns,Underhill,Graham,Robb,Goncalves,McMillan,Kennedy,Fraser,Buffon,Birindelli,Ferrara,Iuliano,Legro'tale,Montero,Appiah
27,Hibernian,Nedved,Cam'nese,Emerson,Ibraham'vc,Thuram,Del,Piero,Zambrotta,Cannavaro,Trezeguet,Zebina,Chimenti,Blasi,Benetti,Kahn,Bilec
28,Falkirk,Reich,Schuster,Neustadter,Wittwer,Bonan,Schutterle,Bender,Kiryakov,Schmitt,Rolff,Shmarov,Metz,Nowotny,Carl,Schmidt,Walter
29,Newcastle Utd,Klinge,Krieg,Stojic,N'Gombo,Olsen,Foguenne,Hueben,Isaias,Karagianis,Teppers,Da,Silva,Lukaku,Wamberto,Debuschere,Varga
30,Airdrionians,Olivieri,Doll,Lawaree,Swerdt'ges,Sironval,Thairet,De,Graef,Ananiev,Markovski,Babunski,Dochev,Machev,Koilov,Kirov,Tanev
31,Aberdeen,Goranov,Nankov,Andonov,Zafirov,Iskrenov,Deanov,Yanchev,Ciric,Radukanov,Petkov,Ilarionov,Marashliev,V,Breuklen,V,Der
32,Dundee,Gaag,V,Tiggelen,Popescu,Van,Mol,Linskins,Kieft,Koeman,Numan,Hoekstra,Lamptey,Van,Aerle,Pauwe,Ingesson
33,Raith Rovers,Heintze,V,Ankeren,Ellerman,De,Ron,Verhagen,Samuel,Lobont,Trabelsi,Heitinga,Escude,Maxwell,Galasek,Rosales,Pienaar
34,Motherwell,V,D,Vaart,Soataers,Obodai,Vermahlen,O'Brien,De,Jong,Anastasiou,Snijder,Sonck,Maarten,De,Ridder,Kreek
35,St Mirren,Boruc,McManus,Caldwell,Naylor,Wilson,Donati,Brown,Nakamura,McGeady,V,Hess'lnk,McDonald,Hartley,Robson,Sno,Kennedy
36,St Johnstone,Samaras,Hinkel,Brown,O'Neill,Smith,Neno,Xavier,Helder,Veloso,Mozer,Kulkov,Schwarz,Costa,Pinto,Isaias,Ailton
37,Partick Thistle,Silva,Yuran,Paneira,William,Rui,Aguas,Alfonso,Silvino,Brito,Hernani,Marcegiani,Cravero,Negro,Bergodi,Bonomi,Di
38,Chelsea,Matteo,Winter,Gascoigne,Fuser,Boksic,Signori,Favalli,Rambaudi,Colucci,Bacci,Casiraghi,Nesta,Orsi,Di,Vaio,De
39,Stirling Albion,Sio,Martini,Verlaat,Silvestre,Goma,Mahe,Martins,Saib,Guerreiro,Cocard,Baticle,Vahirua,Rabarivony,Henna,Violeau,Ciechelski
40,Hamilton,Laslandes,West,Charbonier,Vignola,Deniaud,Fiori,Helveg,Kaladze,Maldini,Nesta,Gattuso,Rui,Costa,Seedorf,Pirlo,Shevchenko
41,Arbroath,Inzaghi,Ambrosini,Serginho,Dalla,Bona,Simic,Tomasson,Junior,Dida,Brocchi,Polonia,Kouba,Hornak,Novotny,Chovanec,Votava
42,Everton,Gunda,Nedved,Frydek,Svoboda,Siegl,Kozlej,Vonasek,Budka,Mistr,Sopko,Kostelnik,Horvath,Sova,Krbecek,Kokoska,Konrad
43,Dunfermline,Reisinger,Furstaller,Weber,Garger,Artner,Huetter,Feirsinger,Stadler,Jurcevic,Sabitzer,Lainer,Amerhauser,Muzek,Winklhofer,Pf'berger,Marquino
44,Ayr United,Ilsanker,Lipa,Emich,Brockh'ser,Banfi,Csabi,Plokai,Stefanov,Csehi,Pisont,Forrai,Illes,Vincze,Hamar,Matyus,Duro
45,Dundee United,Halmai,Szabados,Salloi,Ezeugo,Petry,Mezey,Nyilasi,O'Neill,Brazil,Burke,Eccles,Mullen,Toal,Byrne,McGrath,Osam
